1,43,22,5,100,18,79,59,34,74,15,42,47,49,668,929,840,759,753,512,435,606,325,30,572,232,691,956,66,702,0,718,965,89,924,691,372,296,154,871
0,87,14,74,12,34,22,51,55,11,95,44,61,78,812,378,339,108,939,985,356,398,794,410,288,199,488,342,847,258,924,937,384,572,114,31,940,278,337,274
0,15,22,94,4,63,98,71,76,73,8,65,35,68,590,632,488,803,841,70,488,345,857,553,820,471,219,12,646,394,773,843,854,569,426,648,405,53,84,828
0,8,42,80,36,71,75,46,76,92,1,60,97,79,448,317,271,974,403,887,777,311,869,270,888,808,365,580,892,91,92,223,704,239,15,726,85,740,741,819
1,94,35,48,56,10,53,86,5,3,22,74,85,29,64,576,809,758,424,529,852,586,764,438,866,155,363,529,681,303,491,445,768,580,768,109,811,470,541,209
1,82,32,26,2,90,41,41,77,52,3,89,86,50,655,673,419,762,896,2,461,204,219,408,569,16,81,478,253,596,508,127,249,482,444,854,525,264,197,56
1,0,57,19,62,41,43,98,15,22,80,69,12,55,541,112,75,57,406,572,470,317,660,52,595,912,212,420,651,220,385,175,469,213,955,891,712,281,216,727
1,98,66,29,26,40,96,75,31,77,56,36,94,63,980,542,920,14,871,716,751,909,211,36,313,407,82,291,818,135,222,356,873,514,949,952,173,126,90,660
1,16,75,94,41,90,38,35,75,78,98,17,100,94,513,649,490,63,255,789,133,854,393,332,130,0,332,764,240,438,362,795,638,720,704,168,751,825,722,553
0,31,71,34,93,59,52,83,65,13,31,67,38,80,762,940,87,832,473,673,40,595,67,992,931,184,456,398,566,27,53,833,154,24,882,449,856,21,361,435
1,38,94,42,29,36,99,76,5,66,19,17,98,67,423,399,634,742,173,141,667,913,9,661,891,727,740,647,382,846,255,635,80,724,623,580,93,465,984,789
1,83,15,10,48,92,87,32,30,72,37,7,52,43,229,116,133,714,875,69,798,826,413,843,170,840,779,459,141,56,822,585,177,382,911,581,806,85,326,972
0,10,44,67,43,41,78,59,79,7,94,4,53,71,278,648,299,472,92,668,221,498,911,868,946,391,882,354,847,568,199,388,500,117,996,58,469,721,486,854
1,26,26,27,41,94,12,84,10,61,95,43,16,24,97,136,385,867,855,594,602,660,368,331,445,32,11,102,838,932,474,648,178,416,751,290,749,719,285,888
1,53,76,96,1,93,86,72,66,61,99,33,29,94,207,719,161,423,270,522,984,537,795,187,121,574,46,924,291,461,931,5,995,822,725,563,478,264,605,563
1,65,45,78,4,41,60,100,93,55,96,25,58,66,155,847,598,510,768,305,158,923,193,473,880,207,362,254,153,386,99,30,628,115,294,364,396,133,310,491
0,76,52,91,11,76,70,60,91,4,31,82,21,25,303,924,864,730,855,561,994,132,688,380,118,295,198,808,470,739,238,15,502,600,135,14,802,301,667,347
1,2,37,40,97,71,22,85,79,47,80,19,68,95,690,747,950,348,687,5,605,62,228,466,625,308,189,736,363,525,316,996,244,147,289,6,336,728,507,902
0,35,35,37,14,24,39,47,52,91,34,16,43,45,675,689,597,177,250,871,244,879,523,51,247,564,927,202,585,81,568,529,930,678,385,356,191,285,608,739
0,25,81,76,28,0,52,49,12,48,93,8,39,74,660,731,629,880,190,890,298,694,603,699,107,310,450,359,852,418,902,197,914,874,739,826,250,336,187,646
1,23,36,13,82,47,93,49,80,48,41,87,30,65,305,277,900,460,218,96,271,170,420,436,914,394,187,418,168,489,678,258,69,980,392,767,675,212,426,41
0,74,7,22,8,64,22,32,15,88,84,93,100,95,508,419,375,418,715,809,873,358,536,965,845,676,806,342,947,384,906,94,180,111,600,864,660,259,216,674
1,93,7,53,7,56,89,90,60,6,95,57,68,3,198,310,633,616,812,825,96,689,946,477,864,322,313,111,723,879,430,284,116,359,253,970,612,579,401,749
1,5,10,70,32,45,78,45,80,12,55,72,22,24,139,159,88,297,470,687,301,734,745,616,52,427,144,378,772,273,473,129,977,781,420,415,877,247,865,31
1,3,10,41,9,89,27,6,78,67,16,71,96,13,751,582,939,326,250,837,134,967,161,823,30,649,663,901,288,516,435,781,464,215,777,55,864,951,155,616
0,78,57,82,92,95,19,35,73,31,36,35,55,44,895,945,419,966,197,103,436,680,258,490,456,721,306,200,348,965,797,795,6,51,206,475,320,447,44,73
0,97,7,70,25,66,30,7,79,35,69,42,46,24,479,422,788,5,683,32,910,639,826,766,23,708,963,338,863,447,733,811,158,573,85,699,772,490,717,333
1,91,5,99,83,98,91,48,73,57,95,60,44,56,465,796,616,715,984,124,147,318,637,29,288,805,441,75,481,615,211,584,691,947,434,818,161,243,662,883
1,44,46,89,86,88,9,100,24,72,43,39,62,71,663,502,598,938,865,997,212,320,955,551,655,816,593,321,79,685,955,18,662,137,235,135,454,933,463,42
0,73,97,45,74,99,48,19,17,62,57,21,46,12,399,169,645,461,58,704,479,929,34,222,234,952,460,396,836,635,719,40,411,452,330,967,154,896,93,371
0,94,42,92,66,99,68,96,57,55,37,81,57,99,740,14,937,299,806,574,715,908,82,61,759,395,546,47,568,886,661,752,973,595,242,679,839,728,324,808
1,62,28,78,49,54,83,12,14,58,16,63,29,89,917,101,205,109,337,37,773,674,570,217,240,599,414,161,818,373,631,240,867,173,327,879,238,864,112,666
0,28,18,68,27,81,96,7,57,98,81,30,63,35,635,645,819,452,997,81,986,818,713,734,726,204,630,421,873,625,651,519,82,940,335,136,153,373,788,637
0,34,44,75,76,77,8,16,98,34,16,15,80,4,706,530,152,321,413,931,210,616,613,555,592,771,957,92,554,423,225,203,472,311,690,815,98,61,802,262
0,47,43,13,67,100,96,44,33,14,71,80,36,25,610,461,124,695,189,36,196,858,101,590,983,215,979,404,436,916,125,984,675,565,188,860,37,311,344,358
